reference,context_general,sub_context,unit_general,unit_name,start_date_pre,start_date,end_date,end_date_post
Reinecke et al,Central Europe,Central Europe,Neolithic,Neolithic,,-2500,-2150,
Reinecke et al,Central Europe,Central Europe,Early Bronze Age,Bz A1,,-2150,-2000,
Reinecke et al,Central Europe,Central Europe,Early Bronze Age,Bz A2,,-2000,-1580,
Reinecke et al,Central Europe,Central Europe,Middle Bronze Age,Bz B,,-1580,-1480,
Reinecke et al,Central Europe,Central Europe,Middle Bronze Age,Bz C1,,-1480,-1420,
Reinecke et al,Central Europe,Central Europe,Middle Bronze Age,Bz C2,,-1420,-1320,
Reinecke et al,Central Europe,Central Europe,Late Bronze Age,Bz D,,-1320,-1200,
Reinecke et al,Central Europe,Central Europe,Late Bronze Age,Ha A1,,-1200,-1120,
Reinecke et al,Central Europe,Central Europe,Late Bronze Age,Ha A2,,-1120,-1020,
Reinecke et al,Central Europe,Central Europe,Late Bronze Age,Ha B1,,-1020,-930,
Reinecke et al,Central Europe,Central Europe,Late Bronze Age,Ha B2/3,,-930,-800,
Reinecke et al,Central Europe,Central Europe,Iron Age,Iron Age,,-800,-700,
Hatt,France,Central/Eastern,Neolithic,Neolithic,,-2500,-2150,
Hatt,France,Central/Eastern,Early Bronze Age,Br. ancien I,,-2150,-1950,
Hatt,France,Central/Eastern,Early Bronze Age,Br. ancien II,,-1950,-1780,
Hatt,France,Central/Eastern,Early Bronze Age,Br. ancien III,,-1780,-1580,
Hatt,France,Central/Eastern,Middle Bronze Age,Br. moyen I,,-1580,-1450,
Hatt,France,Central/Eastern,Middle Bronze Age,Br. moyen II,,-1450,-1380,
Hatt,France,Central/Eastern,Middle Bronze Age,Br. moyen III,,-1380,-1300,
Hatt,France,Central/Eastern,Late Bronze Age,Br. final I,,-1300,-1200,
Hatt,France,Central/Eastern,Late Bronze Age,Br. final IIa,,-1200,-1120,
Hatt,France,Central/Eastern,Late Bronze Age,Br. final IIb,,-1120,-1020,
Hatt,France,Central/Eastern,Late Bronze Age,Br. final IIIa,,-1020,-950,
Hatt,France,Central/Eastern,Late Bronze Age,Br. final IIIb,,-950,-800,
Hatt,France,Central/Eastern,Iron Age,Iron Age,,-800,-700,
Needham,Britain,Britain,Neolithic,Neolithic,,-2500,-2450,
Needham,Britain,Britain,Chalcolithic,Period 1,,-2450,-2200,-2150
Needham,Britain,Britain,Early Bronze Age,Period 2,-2200,-2150,-1950,
Needham,Britain,Britain,Early Bronze Age,Period 3,,-1950,-1750,-1700
Needham,Britain,Britain,Early Bronze Age,Period 4,-1750,-1700,-1550,-1500
Needham,Britain,Britain,Middle Bronze Age,Period 5,-1550,-1500,-1140,-1100
Needham,Britain,Britain,Late Bronze Age,Period 6,-1140,-1100,-950,-920
